epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1081.77,0.7504,0.82351,1.23375,0.7237,0.75,0.68946,0.35763,2.11598,1.54386,3.41049,0.000627292,0.000627292,0.000627292
65,1098.93,0.75421,0.89322,1.24556,0.72894,0.75,0.67972,0.38365,2.07763,1.57641,3.40645,0.000610789,0.000610789,0.000610789
66,1115.93,0.8113,1.1265,1.32796,0.72306,0.75,0.66662,0.37011,2.1325,1.66533,3.55893,0.000594286,0.000594286,0.000594286
67,1132.61,0.725,0.91854,1.25066,0.69517,0.75,0.62242,0.33501,2.17451,1.82261,3.64435,0.000577782,0.000577782,0.000577782
68,1149.98,0.75336,0.89875,1.2641,0.62946,0.75,0.64362,0.33295,2.10832,1.82388,3.48271,0.000561279,0.000561279,0.000561279
69,1167.24,0.73059,0.89819,1.2794,0.66257,0.74368,0.66651,0.35648,2.03518,1.73492,3.29477,0.000544776,0.000544776,0.000544776
70,1183.52,0.732,0.88358,1.24579,0.62831,0.75,0.62214,0.3606,2.00872,1.71343,3.10192,0.000528272,0.000528272,0.000528272
71,1199.8,0.71608,0.88096,1.19846,0.65214,0.75,0.62285,0.36875,2.07389,1.77973,3.13245,0.000511769,0.000511769,0.000511769
72,1216.45,0.70496,0.8301,1.21883,0.69672,0.73993,0.61581,0.34907,1.94586,1.79548,2.98722,0.000495266,0.000495266,0.000495266
73,1233.88,0.65817,0.77358,1.22481,0.69005,0.78004,0.72703,0.39501,1.9083,1.67535,2.93987,0.000478762,0.000478762,0.000478762
74,1250.39,0.78863,0.91291,1.3023,0.71565,0.75,0.70015,0.39007,2.06867,1.5521,3.21332,0.000462259,0.000462259,0.000462259
75,1267.08,0.66251,0.87114,1.21564,0.80606,0.73576,0.6824,0.31786,2.23698,1.40576,3.4418,0.000445756,0.000445756,0.000445756
76,1284.04,0.71249,0.83558,1.21762,0.75048,0.73147,0.67655,0.30155,2.33096,1.37861,3.76336,0.000429253,0.000429253,0.000429253
77,1300.52,0.80196,0.8238,1.27104,0.77803,0.62275,0.6331,0.32245,2.1973,1.52716,3.59616,0.000412749,0.000412749,0.000412749
78,1317.25,0.63326,0.77926,1.1795,0.73676,0.625,0.63038,0.35241,2.05475,1.43965,3.36115,0.000396246,0.000396246,0.000396246
79,1334.02,0.69223,0.78964,1.20577,0.7224,0.625,0.64462,0.38606,1.98117,1.3989,3.26774,0.000379743,0.000379743,0.000379743
80,1351.24,0.70842,0.80609,1.23917,0.73084,0.625,0.62143,0.35234,1.9978,1.33098,3.14489,0.000363239,0.000363239,0.000363239
81,1367.78,0.65091,0.89679,1.1879,0.73514,0.625,0.67518,0.38671,2.00225,1.38799,3.03964,0.000346736,0.000346736,0.000346736
82,1385.22,0.63719,0.80661,1.21953,0.72113,0.625,0.62144,0.36854,2.05378,1.4086,3.10991,0.000330233,0.000330233,0.000330233
83,1402.52,0.60878,0.72664,1.16035,0.73387,0.74312,0.66458,0.36267,2.21676,1.36697,3.58801,0.000313729,0.000313729,0.000313729
84,1419.51,0.64175,0.74466,1.15244,0.74097,0.74515,0.66542,0.36936,2.21173,1.41302,3.61825,0.000297226,0.000297226,0.000297226
85,1436.42,0.66494,0.85551,1.18286,0.74511,0.74819,0.66938,0.37122,2.22034,1.446,3.56961,0.000280723,0.000280723,0.000280723
86,1452.92,0.61409,0.90242,1.16865,0.75621,0.74223,0.67973,0.38274,2.2145,1.39078,3.55564,0.00026422,0.00026422,0.00026422
87,1469.51,0.63381,0.74863,1.16235,0.75971,0.74046,0.69496,0.38786,2.15031,1.37819,3.36248,0.000247716,0.000247716,0.000247716
88,1486.15,0.67095,0.76809,1.24141,0.76168,0.74039,0.6989,0.4136,2.07886,1.26415,3.24875,0.000231213,0.000231213,0.000231213
89,1501.83,0.63391,0.78522,1.1395,0.74394,0.74823,0.69861,0.4144,1.981,1.28062,3.06716,0.00021471,0.00021471,0.00021471
90,1518.04,0.55406,0.65038,1.12144,0.73984,0.74979,0.69315,0.39807,1.9926,1.20316,3.11138,0.000198206,0.000198206,0.000198206
91,1534.18,0.64888,1.2762,1.2972,0.75138,0.74734,0.69596,0.38918,1.91409,1.23031,3.00437,0.000181703,0.000181703,0.000181703
92,1551.08,0.60168,1.09103,1.27043,0.76873,0.75,0.68883,0.37463,1.89596,1.24968,3.01519,0.0001652,0.0001652,0.0001652
93,1567.18,0.5362,1.02298,1.22184,0.76098,0.75,0.68158,0.37023,2.05873,1.22568,3.3398,0.000148696,0.000148696,0.000148696
94,1583.25,0.59169,0.86206,1.32247,0.76433,0.75,0.68086,0.35231,2.12085,1.20545,3.44098,0.000132193,0.000132193,0.000132193
95,1599.55,0.518,0.86048,1.14793,0.75128,0.75,0.66466,0.34567,2.14836,1.2731,3.5102,0.00011569,0.00011569,0.00011569
96,1615.61,0.51957,0.91037,1.21633,0.74895,0.75,0.66272,0.34523,2.19611,1.31525,3.58316,9.91865e-05,9.91865e-05,9.91865e-05
97,1632.04,0.5617,0.91121,1.17746,0.75579,0.75,0.66272,0.3453,2.23817,1.3219,3.64031,8.26832e-05,8.26832e-05,8.26832e-05
98,1649.06,0.461,0.79331,1.13629,0.75982,0.75,0.66272,0.34532,2.21237,1.3234,3.58469,6.61799e-05,6.61799e-05,6.61799e-05
99,1665.6,0.45665,0.87553,1.09865,0.7658,0.75,0.66317,0.36181,2.20497,1.30654,3.58076,4.96766e-05,4.96766e-05,4.96766e-05
100,1681.77,0.48397,0.77744,1.09825,0.77425,0.75,0.66344,0.35574,2.18441,1.28861,3.52799,3.31733e-05,3.31733e-05,3.31733e-05
